datetime,ticker,n_contracts,side,curr_ask,ev
2024-04-11T09:36:06.661303,INX-24APR11-T5100,3125.0,yes,4,3.4637301198708563
2024-04-11T09:36:06.715673,INX-24APR11-B5112,1140.0,yes,8,2.527798657874774
2024-04-11T09:36:06.778100,INX-24APR11-B5162,211.0,no,75,4.398760862800572
2024-04-11T09:36:06.837749,INX-24APR11-B5187,332.0,no,74,6.80759246613691
2024-04-11T09:36:06.896827,INX-24APR11-B5212,57.0,no,85,1.3645107358241688
2024-04-11T09:36:06.950450,INX-24APR11-B5237,834.0,yes,6,1.3873939113946125
2024-04-11T09:37:00.876345,INX-24APR11-T5100,36.0,yes,5,1.758915513056973
2024-04-11T09:37:00.959231,INX-24APR11-B5137,2.0,no,82,1.6763873179147168
2024-04-11T09:37:01.015964,INX-24APR11-B5162,7.0,no,74,5.527449922407527
2024-04-11T09:37:01.070617,INX-24APR11-B5187,6.0,no,76,4.431102879030803
2024-04-11T09:37:01.139337,INX-24APR11-B5237,61.0,yes,5,2.914742392084772
2024-04-11T09:37:01.543722,INX-24APR11-B5212,-57.0,no,86,0
2024-04-11T09:38:00.864671,INX-24APR11-T5100,165.0,yes,5,3.259435060571052
2024-04-11T09:38:00.923358,INX-24APR11-B5112,31.0,yes,10,1.2269799368590775
2024-04-11T09:38:00.976795,INX-24APR11-B5162,17.0,no,74,5.23587759385012
2024-04-11T09:38:01.032735,INX-24APR11-B5187,17.0,no,76,5.23106246599437
2024-04-11T09:38:01.094555,INX-24APR11-B5237,90.0,yes,5,1.7741467130677968
2024-04-11T09:39:00.868667,INX-24APR11-T5100,7.0,yes,5,3.30917607855654
2024-04-11T09:39:00.926380,INX-24APR11-B5112,3.0,yes,9,2.2863160478661353
2024-04-11T09:39:01.035014,INX-24APR11-B5187,1.0,no,75,6.25509931962813
2024-04-11T09:39:01.153564,INX-24APR11-B5237,4.0,yes,5,1.7124844707954656
2024-04-11T09:40:01.012165,INX-24APR11-B5237,5.0,yes,5,2.162411612336406
2024-04-11T09:55:01.317776,INX-24APR11-B5137,-2.0,no,82,0
2024-04-11T09:56:00.798233,INX-24APR11-T5100,4.0,yes,5,4.18649913927681
2024-04-11T09:56:00.855185,INX-24APR11-B5112,2.0,yes,9,3.3265015883009976
2024-04-11T09:57:00.826207,INX-24APR11-T5100,3.0,yes,6,2.081131359860832
2024-04-11T09:57:00.886128,INX-24APR11-B5112,1.0,yes,10,1.455764386116913
